Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CENTROID_NOT_SPECIFIED,CHECK_PRICES,COPYRIGHT,DATASHEET,DESCRIPTION,DIGIKEY_DESCRIPTION,DIGIKEY_PART_NUMBER,HEIGHT,LEAD_FREE,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MOUSER_TESTING_PART_NUMBER,MOUSER_TESTING_PRICE-STOCK,MP,MPN,PACKAGE,POPULARITY,PREFIX,PRICE,PROD_ID,PURCHASE-URL,ROHS,SNAPEDA_LINK,SPICEMODEL,SPICEPREFIX,TEMPERATURE_RANGE_HIGH,TEMPERATURE_RANGE_LOW,TP_SIGNAL_NAME,VALUE
1,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,J4,"CONN USB 2.0 TYPE-C R/A SMT",,,,,,,https://ro.mouser.com/datasheet/2/837/GCT_USB4110_Product_Drawing___20k_cycles-3455479.pdf,"CONN USB 2.0 TYPE-C R/A SMT",,,3.26mm,,"GCT (GLOBAL CONNECTOR TECHNOLOGY)",USB4110-GF-A,,,640-USB4110-GF-A,https://www.mouser.co.uk/ProductDetail/GCT/USB4110-GF-A?qs=KUoIvG%2F9IlYiZvIXQjyJeA%3D%3D,,,,,,,,,,,,,,,,,,
1,SI1308EDL-T1-GE3,SI1308EDL-T1-GE3,SOT65P210X110-3N,Q2,"MOSFET N-Ch 30V 1.5A TrenchFET SC70 Vishay Si1308EDL-T1-GE3 N-channel MOSFET Transistor, 1.5 A, 30 V, 3-Pin SC-70",,,"In Stock",,https://www.snapeda.com/parts/SI1308EDL-T1-GE3/Vishay+Siliconix/view-part/?ref=eda,,https://www.vishay.com/docs/63399/si1308edl.pdf," Si1308EDL-T1-GE3 N-channel MOSFET Transistor"," 1.5 A"," 30 V"," 3-Pin SC-70 | Siliconix / Vishay SI1308EDL-T1-GE3 ",,,,,,,"Vishay Siliconix",,,,,,SI1308EDL-T1-GE3,,"SOT-323 Vishay Semiconductor",,,None,,"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=274603&manufacturer=Vishay Siliconix&part_name=SI1308EDL-T1-GE3&search_term=None",,https://www.snapeda.com/parts/SI1308EDL-T1-GE3/Vishay+Siliconix/view-part/?ref=snap,,,
1,TPTP20R,TPTP20R,TP20R,TP6,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3V3,
1,TPTP20R,TPTP20R,TP20R,TP7,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,EPD_3V3,
1,TPTP20R,TPTP20R,TP20R,TP15,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,EPD_3V3_C,
1,TPTP20R,TPTP20R,TP20R,TP11,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,EPD_BUSY,
1,TPTP20R,TPTP20R,TP20R,TP12,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,EPD_CS,
1,TPTP20R,TPTP20R,TP20R,TP13,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,EPD_DC,
1,TPTP20R,TPTP20R,TP20R,TP14,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,EPD_RST,
1,TPTP20R,TPTP20R,TP20R,TP4,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,GND,
1,TPTP20R,TPTP20R,TP20R,TP17,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,INT_RTC,
1,TPTP20R,TPTP20R,TP20R,TP8,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,MISO,
1,TPTP20R,TPTP20R,TP20R,TP9,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,MOSI,
1,TPTP20R,TPTP20R,TP20R,TP2,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,RX,
1,TPTP20R,TPTP20R,TP20R,TP10,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,SCK,
1,TPTP20R,TPTP20R,TP20R,TP1,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,TX,
1,TPTP20R,TPTP20R,TP20R,TP3,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,VBAT,
1,TPTP20R,TPTP20R,TP20R,TP16,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,VBUS,
1,USBLC6-2SC6Y,USBLC6-2SC6Y,SOT95P280X145-6N,D9,"Low Cap. ESD Protection Auto SOT-23-6 STMicroelectronics USBLC6-2SC6Y, Dual Uni-Directional TVS Diode Array, 6-Pin SOT-23",,,"In Stock",,https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=eda,,https://ro.mouser.com/datasheet/2/389/usblc6_2sc6y-1852505.pdf," 17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6 ",,,,,,,STMicroelectronics,,,https://ro.mouser.com/ProductDetail/STMicroelectronics/USBLC6-2SC6Y?utm_campaign=mouser&qs=gNDSiZmRJS%2FOgDexvXkdow==&utm_medium=online&utm_source=snapedaonline&utm_content=model,,,USBLC6-2SC6Y,,"SOT-23-6 STMicroelectronics",,,None,,,,https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=snap,,,,,,
1,W25Q512JVEIQ,W25Q512JVEIQ,SON127P600X800X80-9N,U3,"Check availability",,,"In Stock",,https://www.snapeda.com/parts/W25Q512JVEIQ/Winbond+Electronics/view-part/?ref=eda,,https://www.winbond.com/resource-files/W25Q512JV%20SPI%20RevB%2006252019%20KMS.pdf," FLASH - NOR Memory IC 512Mb (64M x 8) SPI - Quad I/O 133 MHz 8-WSON (8x6) ",,,,,,,"Winbond Electronics",,,,,,W25Q512JVEIQ,,"Package ",,,None,,,,https://www.snapeda.com/parts/W25Q512JVEIQ/Winbond+Electronics/view-part/?ref=snap,,,,,,
1,XC6220A331MR-G,XC6220A331MR-G,SOT95P280X120-5N,IC2,"LDO Voltage Regulators",,,,,,,https://ro.mouser.com/datasheet/2/760/xc6220-3371556.pdf,"LDO Voltage Regulators",,,1.2mm,,Torex,XC6220A331MR-G,,,865-XC6220A331MR-G,https://www.mouser.co.uk/ProductDetail/Torex-Semiconductor/XC6220A331MR-G?qs=AsjdqWjXhJ8ZSWznL1J0gg%3D%3D,,,,,,,,,,,,,,,,,,
